nodes, total completed , avg time (ms)
3 , 10 , 0.8 
4 , 10 , 1.6 
5 , 10 , 1.9 
6 , 10 , 2.6 
7 , 10 , 3.2 
8 , 10 , 4.2 
9 , 10 , 5.3 
10 , 10 , 5.5 
11 , 10 , 5.9 
12 , 9 , 6.44444 
13 , 10 , 7.3 
14 , 10 , 7.4 
15 , 10 , 8.2 
16 , 10 , 8.7 
17 , 10 , 8.8 
18 , 10 , 10.2 
19 , 10 , 9.9 
20 , 10 , 10.7 
21 , 10 , 10.8 
22 , 10 , 11.3 
23 , 10 , 12 
24 , 10 , 12.1 
25 , 10 , 12.8 
26 , 10 , 13.5 
27 , 10 , 13.5 
28 , 10 , 13.7 
29 , 10 , 15.6 
30 , 10 , 15.2 
31 , 10 , 17 
32 , 10 , 16.4 
33 , 10 , 16.7 
34 , 10 , 17.7 
35 , 9 , 19 
36 , 10 , 19.2 
37 , 10 , 21 
38 , 10 , 21 
39 , 10 , 23.9 
40 , 10 , 22.2 
41 , 10 , 25.5 
42 , 9 , 24.3333 
43 , 10 , 25.8 
44 , 10 , 28.2 
45 , 10 , 26.2 
46 , 10 , 25.9 
47 , 10 , 26.2 
48 , 10 , 24.7 
49 , 10 , 27 
50 , 10 , 25.8 
51 , 10 , 28.3 
52 , 9 , 27.5556 
53 , 10 , 28.6 
54 , 10 , 29.8 
55 , 10 , 28.2 
56 , 10 , 28.2 
57 , 10 , 29.5 
58 , 10 , 30 
59 , 10 , 30.9 
60 , 10 , 29.9 
61 , 10 , 31.3 
62 , 10 , 28.7 
63 , 10 , 30.4 
64 , 10 , 31 
65 , 10 , 30.9 
66 , 10 , 32.8 
67 , 10 , 31 
68 , 10 , 32.7 
69 , 10 , 31.2 
70 , 10 , 32.7 
71 , 10 , 49.3 
72 , 10 , 32.7 
73 , 10 , 34.1 
74 , 10 , 34.9 
75 , 9 , 33.4444 
76 , 10 , 35.8 
77 , 10 , 38.3 
78 , 10 , 35.7 
79 , 10 , 36.2 
80 , 10 , 35.4 
81 , 10 , 43.5 
82 , 10 , 38.5 
83 , 10 , 39.3 
84 , 10 , 37.7 
85 , 10 , 38.9 
86 , 10 , 36.5 
87 , 10 , 40.2 
88 , 10 , 39.3 
89 , 10 , 37 
90 , 10 , 45.2 
91 , 10 , 45.4 
92 , 10 , 44.4 
93 , 10 , 38.5 
94 , 10 , 39.5 
95 , 10 , 44.6 
96 , 10 , 40.3 
97 , 10 , 40.4 
98 , 10 , 43.5 
99 , 10 , 43.6 
100 , 10 , 42.8 
101 , 10 , 42.7 
102 , 10 , 40.1 
103 , 10 , 40.7 
104 , 10 , 44.5 
105 , 10 , 40.9 
106 , 10 , 42.1 
107 , 10 , 43.9 
108 , 10 , 51.5 
109 , 10 , 46.7 
110 , 10 , 43.8 
111 , 10 , 43.6 
112 , 10 , 44.3 
113 , 10 , 44.9 
114 , 10 , 46.6 
115 , 10 , 43.8 
116 , 10 , 45.5 
117 , 10 , 46.6 
118 , 10 , 47.8 
119 , 10 , 50.6 
120 , 10 , 47.4 
121 , 10 , 46.8 
122 , 10 , 48 
123 , 10 , 47.5 
124 , 10 , 47.6 
125 , 10 , 48.3 
126 , 10 , 47.3 
127 , 10 , 49.6 
128 , 10 , 48.3 
129 , 10 , 54.5 
130 , 10 , 47 
131 , 10 , 48.9 
132 , 10 , 49.5 
133 , 10 , 52.5 
134 , 10 , 51.4 
135 , 10 , 50.8 
136 , 10 , 49.2 
137 , 10 , 52.1 
138 , 10 , 62 
139 , 10 , 49.3 
140 , 10 , 51.8 
141 , 10 , 52.5 
142 , 10 , 48.4 
143 , 10 , 52.5 
144 , 10 , 49.5 
145 , 10 , 48.3 
146 , 10 , 47.8 
147 , 10 , 44.9 
148 , 9 , 48 
149 , 10 , 48 
150 , 10 , 56.2 
151 , 10 , 48.9 
152 , 10 , 49.5 
153 , 10 , 54.8 
154 , 10 , 51.6 
155 , 10 , 48.5 
156 , 10 , 54.3 
157 , 10 , 46.4 
158 , 10 , 50.8 
159 , 10 , 57.5 
160 , 10 , 48.6 
161 , 10 , 56.2 
162 , 10 , 48.3 
163 , 10 , 51.5 
164 , 10 , 52.7 
165 , 10 , 63.3 
166 , 10 , 82.3 
167 , 10 , 97.1 
168 , 10 , 64 
169 , 10 , 518.3 
170 , 10 , 95 
171 , 10 , 108.3 
172 , 10 , 78.6 
173 , 8 , 81.625 
225 , 10 , 60.1 
250 , 10 , 97 
275 , 10 , 91.6 
300 , 10 , 167.8 
301 , 10 , 543.4 
302 , 10 , 167.9 
303 , 10 , 135.9 
304 , 10 , 147.2 
305 , 1 , 162 
325 , 10 , 105.9 
350 , 10 , 142.55 
375 , 10 , 1013.1 
400 , 10 , 916.1 
425 , 9 , 82.2222 
450 , 10 , 147.4 
475 , 10 , 407.1 
500 , 10 , 4408.8 
525 , 9 , 495.444 
550 , 10 , 2458.1 
575 , 9 , 648.444 
600 , 10 , 176.6 
625 , 10 , 1277.9 
650 , 9 , 250.889 
675 , 9 , 1498.22 
700 , 9 , 488.889 
725 , 8 , 3047.12 
750 , 9 , 3029.11 
800 , 9 , 3149 
900 , 5 , 1153.8 
1000 , 6 , 2359.33 
1100 , 5 , 5600.8 
1200 , 4 , 2350 
1300 , 3 , 4700.33 
1400 , 2 , 21466 
1500 , 1 , 416 
1600 , 4 , 4417.25 
1700 , 2 , 18047.5 
1800 , 2 , 22215 
2000 , 1 , 32748 
