nodes, total completed , avg time (ms)
3 , 10 , 0.2 
4 , 10 , 0.1 
5 , 10 , 0.4 
6 , 10 , 0.8 
7 , 10 , 0.9 
8 , 10 , 1 
9 , 10 , 1.1 
10 , 10 , 1.5 
11 , 10 , 1.5 
12 , 9 , 1.55556 
13 , 10 , 3.4 
14 , 10 , 2.8 
15 , 10 , 3.3 
16 , 10 , 3.8 
17 , 10 , 4.6 
18 , 10 , 9 
19 , 10 , 5 
20 , 10 , 7.7 
21 , 10 , 6.3 
22 , 10 , 8.4 
23 , 10 , 6.7 
24 , 10 , 9.7 
25 , 10 , 15.5 
26 , 10 , 7.7 
27 , 10 , 12.4 
28 , 10 , 8.5 
29 , 10 , 15.7 
30 , 10 , 14.6 
31 , 10 , 15.8 
32 , 10 , 14.7 
33 , 10 , 13.3 
34 , 10 , 24.3 
35 , 9 , 20.7778 
36 , 10 , 19.5 
37 , 10 , 26.1 
38 , 10 , 34.9 
39 , 10 , 48.3 
40 , 10 , 35.8 
41 , 10 , 40.2 
42 , 9 , 30.3333 
43 , 10 , 39 
44 , 10 , 32.6 
45 , 10 , 55.1 
46 , 10 , 67 
47 , 10 , 66.4 
48 , 10 , 52.7 
49 , 10 , 51.9 
50 , 10 , 28.7 
51 , 10 , 39.8 
52 , 9 , 268.444 
53 , 10 , 40.8 
54 , 10 , 39.5 
55 , 10 , 46.5 
56 , 10 , 55.1 
57 , 10 , 50.6 
58 , 10 , 45.2 
59 , 10 , 52.6 
60 , 10 , 126.4 
61 , 10 , 89 
62 , 10 , 62.3 
63 , 10 , 80.5 
64 , 10 , 52.6 
65 , 10 , 46.8 
66 , 10 , 1698.4 
67 , 10 , 42.4 
68 , 10 , 741.3 
69 , 10 , 48.1 
70 , 10 , 63.9 
71 , 10 , 753 
72 , 10 , 250.9 
73 , 10 , 471.6 
74 , 10 , 66.2 
75 , 9 , 370.556 
76 , 10 , 1532.8 
77 , 10 , 507.5 
78 , 10 , 64.8 
79 , 10 , 608.3 
80 , 10 , 69.5 
81 , 10 , 912.8 
82 , 10 , 492.4 
83 , 10 , 389.1 
84 , 10 , 153.6 
85 , 10 , 147.7 
86 , 10 , 408.3 
87 , 9 , 481.111 
88 , 9 , 376.667 
89 , 10 , 115.5 
90 , 10 , 150.3 
91 , 10 , 1018.1 
92 , 9 , 413.889 
93 , 10 , 326.5 
94 , 10 , 1862.2 
95 , 10 , 246 
96 , 9 , 904.444 
97 , 10 , 327.6 
98 , 10 , 345.9 
99 , 9 , 584 
100 , 10 , 103.8 
101 , 10 , 4000.2 
102 , 10 , 887.5 
103 , 10 , 1944.8 
104 , 9 , 607.556 
105 , 10 , 2368.5 
106 , 9 , 1081.89 
107 , 10 , 1009.3 
108 , 8 , 988.375 
109 , 9 , 1378.56 
110 , 10 , 817.5 
111 , 10 , 1007.2 
112 , 10 , 1184.5 
113 , 10 , 1523.9 
114 , 10 , 694 
115 , 10 , 555.3 
116 , 10 , 1619.5 
117 , 9 , 2570.22 
118 , 10 , 1554.1 
119 , 7 , 3454.86 
120 , 8 , 277.5 
121 , 8 , 2065.88 
122 , 10 , 1395 
123 , 10 , 3454.5 
124 , 9 , 140.444 
125 , 10 , 3718.6 
126 , 7 , 647.429 
127 , 10 , 3629.2 
128 , 10 , 2170.1 
129 , 9 , 1545.56 
130 , 9 , 600.556 
131 , 9 , 1601.89 
132 , 10 , 4163.4 
133 , 10 , 1509.6 
134 , 10 , 2921 
135 , 9 , 1213 
136 , 10 , 1852.9 
137 , 9 , 2855 
138 , 10 , 4050.1 
139 , 10 , 1622 
140 , 10 , 1606.3 
141 , 10 , 7631.6 
142 , 10 , 3188 
143 , 9 , 1458.67 
144 , 8 , 3081.25 
145 , 7 , 3458.57 
146 , 9 , 2334 
147 , 7 , 3671 
148 , 8 , 895 
149 , 6 , 3116.5 
150 , 9 , 3454.33 
151 , 10 , 1478.3 
152 , 7 , 4615.71 
153 , 7 , 2820.29 
154 , 7 , 3549.86 
155 , 9 , 2813.11 
156 , 9 , 5057.33 
157 , 8 , 2832.38 
158 , 8 , 2035.38 
159 , 8 , 1311.12 
160 , 10 , 1850.5 
161 , 10 , 3893 
162 , 9 , 2899.11 
163 , 8 , 2816.25 
164 , 10 , 1863.8 
165 , 8 , 6590.38 
166 , 6 , 5102.5 
167 , 7 , 8631.14 
168 , 6 , 7460 
169 , 5 , 3363.8 
170 , 9 , 8951.22 
171 , 7 , 12252.6 
172 , 8 , 7914.88 
173 , 7 , 1481.14 
