nodes, total completed , avg time (ms)
3 , 10 , 0.1 
4 , 10 , 0.4 
5 , 10 , 0.7 
6 , 10 , 0.9 
7 , 10 , 1.1 
8 , 10 , 1.3 
9 , 10 , 1.5 
10 , 10 , 1.6 
11 , 10 , 2 
12 , 9 , 2.33333 
13 , 10 , 3.2 
14 , 10 , 3.3 
15 , 10 , 3.2 
16 , 10 , 3.5 
17 , 10 , 4.8 
18 , 10 , 5.7 
19 , 10 , 4.9 
20 , 10 , 6.1 
21 , 10 , 5 
22 , 10 , 5.9 
23 , 10 , 6.4 
24 , 10 , 5.8 
25 , 10 , 7.2 
26 , 10 , 7 
27 , 10 , 7.4 
28 , 10 , 7.3 
29 , 10 , 9.3 
30 , 10 , 9.6 
31 , 10 , 9.7 
32 , 10 , 9.6 
33 , 10 , 8.9 
34 , 10 , 12.5 
35 , 9 , 14.1111 
36 , 10 , 10.8 
37 , 10 , 14 
38 , 10 , 15.9 
39 , 10 , 19.2 
40 , 10 , 17.8 
41 , 10 , 24.8 
42 , 9 , 18.5556 
43 , 10 , 20.5 
44 , 10 , 20.7 
45 , 10 , 24.2 
46 , 10 , 25.2 
47 , 10 , 18.7 
48 , 10 , 22.5 
49 , 10 , 20.1 
50 , 10 , 16.7 
51 , 10 , 20.3 
52 , 9 , 20.6667 
53 , 10 , 20.9 
54 , 10 , 25.5 
55 , 10 , 22.9 
56 , 10 , 24.6 
57 , 10 , 26 
58 , 10 , 28.8 
59 , 10 , 25 
60 , 10 , 31.2 
61 , 10 , 26.5 
62 , 10 , 26.3 
63 , 10 , 28 
64 , 10 , 27 
65 , 10 , 22.4 
66 , 10 , 26.5 
67 , 10 , 23.7 
68 , 10 , 35 
69 , 10 , 23.5 
70 , 10 , 28.8 
71 , 10 , 50.8 
72 , 10 , 26.4 
73 , 10 , 44 
74 , 10 , 29.3 
75 , 9 , 51.6667 
76 , 10 , 48.9 
77 , 10 , 47.6 
78 , 10 , 29 
79 , 10 , 38.5 
80 , 10 , 33.6 
81 , 10 , 41 
82 , 10 , 48 
83 , 10 , 77.2 
84 , 10 , 47.2 
85 , 10 , 45.4 
86 , 10 , 44.3 
87 , 10 , 75.9 
88 , 10 , 43.1 
89 , 10 , 44.8 
90 , 10 , 53.4 
91 , 10 , 55.6 
92 , 10 , 47.7 
93 , 10 , 48.5 
94 , 10 , 48.5 
95 , 10 , 83.3 
96 , 10 , 125.3 
97 , 10 , 41.6 
98 , 10 , 56.1 
99 , 10 , 65.8 
100 , 10 , 33.7 
101 , 10 , 60 
102 , 10 , 76.8 
103 , 10 , 272.6 
104 , 10 , 99.3 
105 , 10 , 57.4 
106 , 10 , 41.2 
107 , 10 , 81.6 
108 , 10 , 287.6 
109 , 10 , 91.7 
110 , 10 , 73.7 
111 , 10 , 93.5 
112 , 10 , 62.1 
113 , 10 , 92.9 
114 , 10 , 57.2 
115 , 10 , 52.6 
116 , 10 , 64 
117 , 10 , 76.9 
118 , 10 , 97.5 
119 , 10 , 563.1 
120 , 10 , 128.5 
121 , 10 , 139.2 
122 , 10 , 63.8 
123 , 10 , 79.2 
124 , 10 , 68.5 
125 , 10 , 110.1 
126 , 10 , 83.6 
127 , 10 , 89.2 
128 , 10 , 74.5 
129 , 10 , 69.4 
130 , 10 , 87.4 
131 , 10 , 129.7 
132 , 10 , 113.5 
133 , 10 , 110.3 
134 , 10 , 103.2 
135 , 10 , 64.5 
136 , 10 , 79.4 
137 , 10 , 100.3 
138 , 10 , 105.4 
139 , 10 , 235.6 
140 , 10 , 128.5 
141 , 10 , 175.6 
142 , 10 , 141.3 
143 , 10 , 416.1 
144 , 10 , 395.4 
145 , 10 , 118.4 
146 , 10 , 114.8 
147 , 10 , 96.8 
148 , 9 , 121 
149 , 10 , 432.3 
150 , 10 , 396.3 
151 , 10 , 104.1 
152 , 9 , 139.222 
153 , 10 , 560.2 
154 , 10 , 191.5 
155 , 10 , 99.1 
156 , 10 , 191.2 
157 , 10 , 108.2 
158 , 10 , 165 
159 , 10 , 452.1 
160 , 10 , 90.1 
161 , 10 , 187.1 
162 , 10 , 483.6 
163 , 10 , 135.7 
164 , 10 , 115.7 
165 , 10 , 359.4 
166 , 10 , 2949.9 
167 , 10 , 984.7 
168 , 10 , 1199.9 
169 , 9 , 1980.67 
170 , 10 , 573.9 
171 , 10 , 2262.5 
172 , 10 , 295.6 
173 , 8 , 98.75 
225 , 10 , 1217.7 
250 , 9 , 1466.33 
275 , 9 , 931.222 
300 , 8 , 4071.38 
301 , 8 , 5648.75 
302 , 8 , 1499.88 
303 , 10 , 4325.3 
304 , 7 , 6101.43 
325 , 7 , 6254.57 
350 , 6 , 6955.17 
375 , 7 , 4952.29 
400 , 5 , 14122.4 
425 , 9 , 7717.67 
450 , 6 , 3474.83 
500 , 2 , 6981.5 
525 , 4 , 2459.5 
550 , 3 , 6134.33 
575 , 1 , 3120 
600 , 2 , 8329 
625 , 1 , 3433 
650 , 2 , 12144.5 
675 , 1 , 9209 
