nodes, total completed , avg time (ms)
3 , 10 , 0.8 
4 , 10 , 1.7 
5 , 10 , 3 
6 , 10 , 4.5 
7 , 10 , 6.2 
8 , 10 , 8 
9 , 10 , 9.2 
10 , 10 , 10.8 
11 , 10 , 12.6 
12 , 9 , 13.7778 
13 , 10 , 15.9 
14 , 10 , 17.3 
15 , 10 , 20.9 
16 , 10 , 22.1 
17 , 10 , 24.3 
18 , 10 , 29.8 
19 , 10 , 27.5 
20 , 10 , 31.2 
21 , 10 , 32.5 
22 , 10 , 34.5 
23 , 10 , 36 
24 , 10 , 38.9 
25 , 10 , 39.5 
26 , 10 , 42.2 
27 , 10 , 43.5 
28 , 10 , 45.4 
29 , 10 , 49.2 
30 , 10 , 51.8 
31 , 10 , 49.5 
32 , 10 , 48.8 
33 , 10 , 52.4 
34 , 10 , 52.7 
35 , 9 , 54.8889 
36 , 10 , 52.8 
37 , 10 , 59 
38 , 10 , 63.4 
39 , 10 , 63.4 
40 , 10 , 59.3 
41 , 10 , 67.6 
42 , 9 , 63.6667 
43 , 10 , 64.9 
44 , 10 , 62.8 
45 , 10 , 67.4 
46 , 10 , 67.6 
47 , 10 , 66.8 
48 , 10 , 62.7 
49 , 10 , 61.3 
50 , 10 , 65.8 
51 , 10 , 69.9 
52 , 9 , 63.5556 
53 , 10 , 67.4 
54 , 10 , 65.4 
55 , 10 , 69.5 
56 , 10 , 70.1 
57 , 10 , 64.9 
58 , 10 , 64.7 
59 , 10 , 67.2 
60 , 10 , 59 
61 , 10 , 62.5 
62 , 10 , 62.5 
63 , 10 , 64.1 
64 , 10 , 68.5 
65 , 10 , 59.7 
66 , 10 , 60.6 
67 , 10 , 55.9 
68 , 10 , 64 
69 , 10 , 60 
70 , 10 , 58.1 
71 , 10 , 115.2 
72 , 10 , 64.1 
73 , 10 , 63.9 
74 , 10 , 63.1 
75 , 9 , 63.4444 
76 , 10 , 71 
77 , 10 , 74.2 
78 , 10 , 64.5 
79 , 10 , 68 
80 , 10 , 67.4 
81 , 10 , 91.6 
82 , 10 , 67.9 
83 , 10 , 73.9 
84 , 10 , 70.8 
85 , 10 , 72.8 
86 , 10 , 73.8 
87 , 10 , 77 
88 , 10 , 70.9 
89 , 10 , 75.6 
90 , 10 , 81.9 
91 , 10 , 78.2 
92 , 10 , 90.2 
93 , 10 , 73.2 
94 , 10 , 74.3 
95 , 10 , 87.1 
96 , 10 , 82.1 
97 , 10 , 79 
98 , 10 , 76.7 
99 , 10 , 81.7 
100 , 10 , 84.1 
101 , 10 , 83.7 
102 , 10 , 79.9 
103 , 10 , 80.9 
104 , 10 , 95.7 
105 , 10 , 78 
106 , 10 , 84.6 
107 , 10 , 93.3 
108 , 10 , 160.1 
109 , 10 , 98.2 
110 , 10 , 97.4 
111 , 10 , 90.7 
112 , 10 , 90.9 
113 , 10 , 96.4 
114 , 10 , 96.1 
115 , 10 , 103.6 
116 , 10 , 111.2 
117 , 10 , 110.5 
118 , 10 , 120.8 
119 , 10 , 110.5 
120 , 10 , 105.1 
121 , 10 , 118 
122 , 10 , 116.2 
123 , 10 , 117.2 
124 , 10 , 104.5 
125 , 10 , 112.3 
126 , 10 , 109.8 
127 , 10 , 117 
128 , 10 , 117.3 
129 , 10 , 145.4 
130 , 10 , 108.3 
131 , 10 , 111 
132 , 10 , 132.6 
133 , 10 , 117.2 
134 , 10 , 131.6 
135 , 10 , 117.6 
136 , 10 , 111.6 
137 , 10 , 122.2 
138 , 10 , 223.8 
139 , 10 , 119.4 
140 , 10 , 137.4 
141 , 10 , 138.7 
142 , 10 , 129.9 
143 , 10 , 136.9 
144 , 10 , 143.2 
145 , 10 , 127.5 
146 , 10 , 125.6 
147 , 10 , 122.7 
148 , 9 , 134 
149 , 10 , 127.3 
150 , 10 , 194.1 
151 , 10 , 140.5 
152 , 10 , 132.9 
153 , 10 , 173.5 
154 , 10 , 151.9 
155 , 10 , 136.7 
156 , 10 , 177 
157 , 10 , 134.3 
158 , 10 , 149.8 
159 , 10 , 189.2 
160 , 10 , 138.4 
161 , 10 , 185.8 
162 , 10 , 147 
163 , 10 , 167.4 
164 , 10 , 156.4 
165 , 10 , 246.2 
166 , 10 , 377.5 
167 , 10 , 403.7 
168 , 10 , 230.5 
169 , 10 , 1744.3 
170 , 10 , 406.6 
171 , 10 , 410 
172 , 10 , 266 
173 , 8 , 286.125 
225 , 10 , 283.6 
250 , 10 , 714.1 
275 , 10 , 621.4 
300 , 10 , 1022.8 
301 , 10 , 1994.6 
302 , 10 , 875.7 
303 , 10 , 933.4 
304 , 10 , 810.3 
305 , 1 , 748 
325 , 10 , 874.6 
350 , 20 , 1289.9 
375 , 10 , 8245.2 
400 , 10 , 7553.5 
425 , 9 , 1001.22 
450 , 10 , 3270.3 
475 , 10 , 4577.5 
500 , 10 , 25084.6 
525 , 9 , 3922.89 
550 , 10 , 17178.2 
575 , 9 , 6759.89 
600 , 10 , 2608.2 
625 , 10 , 12976.6 
650 , 9 , 3548.67 
675 , 9 , 12247.9 
700 , 9 , 5925.33 
725 , 8 , 16867.2 
750 , 9 , 26783.1 
