nodes, total completed , avg time (ms)
3 , 10 , 0 
4 , 10 , 0.1 
5 , 10 , 0.3 
6 , 10 , 0.6 
7 , 10 , 0.4 
8 , 10 , 1.2 
9 , 10 , 2 
10 , 10 , 1.9 
11 , 10 , 2.5 
12 , 10 , 4 
13 , 10 , 3 
14 , 10 , 3 
15 , 10 , 4.1 
16 , 10 , 6.1 
17 , 10 , 6.8 
18 , 10 , 7 
19 , 10 , 7.6 
20 , 10 , 7.8 
21 , 10 , 9.8 
22 , 10 , 11.6 
23 , 10 , 10.5 
24 , 10 , 9.7 
25 , 10 , 11.3 
26 , 10 , 12.6 
27 , 10 , 10.8 
28 , 10 , 11 
29 , 10 , 11 
30 , 10 , 11.9 
31 , 10 , 14.5 
32 , 10 , 12.6 
33 , 10 , 14.3 
34 , 10 , 12.9 
35 , 10 , 14.4 
36 , 10 , 13.1 
37 , 10 , 15.4 
38 , 10 , 15.1 
39 , 10 , 17.3 
40 , 10 , 15.6 
41 , 10 , 18.6 
42 , 10 , 22.5 
43 , 10 , 21.3 
44 , 10 , 18.3 
45 , 10 , 18.7 
46 , 10 , 25.8 
47 , 10 , 23.3 
48 , 10 , 27.3 
49 , 10 , 23.1 
50 , 10 , 21.3 
51 , 10 , 25.8 
52 , 10 , 25.8 
53 , 10 , 23.9 
54 , 10 , 26.9 
55 , 10 , 24.6 
56 , 10 , 28.4 
57 , 10 , 26 
58 , 10 , 19.5 
59 , 10 , 19 
60 , 10 , 19.7 
61 , 10 , 18.3 
62 , 10 , 14.7 
63 , 10 , 20.9 
64 , 10 , 19.1 
65 , 10 , 17.3 
66 , 10 , 15.7 
67 , 10 , 17.8 
68 , 10 , 15.2 
69 , 10 , 12.3 
70 , 10 , 12.6 
71 , 10 , 10.5 
72 , 10 , 11.2 
73 , 10 , 10.3 
74 , 10 , 10.3 
75 , 10 , 10.2 
76 , 10 , 11.4 
77 , 10 , 11.7 
78 , 10 , 12.2 
79 , 10 , 11.4 
80 , 10 , 12.1 
81 , 10 , 16.4 
82 , 10 , 14.5 
83 , 10 , 13.9 
84 , 10 , 18.8 
85 , 10 , 17.1 
86 , 10 , 15.8 
87 , 10 , 16.7 
88 , 10 , 15.9 
89 , 10 , 17.6 
90 , 10 , 15.2 
91 , 10 , 16.4 
92 , 10 , 19 
93 , 10 , 17.2 
94 , 10 , 18.1 
95 , 10 , 19.2 
96 , 10 , 17.9 
97 , 10 , 21.5 
98 , 10 , 22.5 
99 , 10 , 17.6 
100 , 10 , 17.2 
101 , 10 , 18.7 
102 , 10 , 17.1 
103 , 10 , 15.3 
104 , 10 , 16.5 
105 , 10 , 14.5 
106 , 10 , 17.9 
107 , 10 , 15.5 
108 , 10 , 15.8 
109 , 10 , 14.7 
110 , 10 , 14.3 
111 , 10 , 14.4 
112 , 10 , 14.3 
113 , 10 , 14.6 
114 , 10 , 11.9 
115 , 10 , 15.8 
116 , 10 , 12.8 
117 , 10 , 13 
118 , 10 , 12.3 
119 , 10 , 12.8 
120 , 10 , 11.6 
121 , 10 , 11.5 
122 , 10 , 11.7 
123 , 10 , 12.6 
124 , 10 , 14.1 
125 , 10 , 15.2 
126 , 10 , 14.3 
127 , 10 , 14.8 
128 , 10 , 15.4 
129 , 10 , 14.4 
130 , 10 , 15 
131 , 10 , 15 
132 , 10 , 16.8 
133 , 10 , 15.3 
134 , 10 , 14.7 
135 , 10 , 15.3 
136 , 10 , 15.8 
137 , 10 , 15.5 
138 , 10 , 14.7 
139 , 10 , 16.2 
140 , 10 , 16.5 
141 , 10 , 17.1 
142 , 10 , 17.6 
143 , 10 , 16.6 
144 , 10 , 13.1 
145 , 10 , 12.5 
146 , 10 , 12.5 
147 , 10 , 11.9 
148 , 10 , 13.2 
149 , 10 , 11.6 
150 , 10 , 12.7 
151 , 10 , 12.6 
152 , 10 , 12.2 
153 , 10 , 14.7 
154 , 10 , 12.2 
155 , 10 , 11.8 
156 , 10 , 12.5 
157 , 10 , 12.4 
158 , 10 , 13 
159 , 10 , 12.3 
160 , 10 , 12.4 
161 , 10 , 12 
162 , 10 , 12.2 
163 , 10 , 13 
164 , 10 , 12.8 
165 , 10 , 12.7 
166 , 10 , 16.1 
167 , 10 , 21.7 
168 , 10 , 18 
169 , 10 , 20.8 
170 , 10 , 23.6 
171 , 10 , 18 
172 , 10 , 21.3 
173 , 9 , 19.7778 
225 , 10 , 17.4 
250 , 10 , 18.2 
275 , 10 , 22.4 
300 , 10 , 35.8 
301 , 10 , 34.3 
302 , 10 , 37.9 
303 , 10 , 34.5 
304 , 10 , 39.1 
305 , 2 , 38 
325 , 10 , 27.9 
350 , 10 , 37.95 
351 , 1 , 36 
375 , 10 , 36.2 
400 , 10 , 40.1 
425 , 10 , 44.8 
450 , 10 , 50.3 
475 , 10 , 55.1 
500 , 10 , 60.7 
525 , 10 , 65.5 
550 , 10 , 71 
575 , 10 , 80.8 
600 , 10 , 87.1 
625 , 10 , 95.6 
650 , 10 , 101.1 
675 , 10 , 106.5 
700 , 10 , 110.9 
725 , 10 , 121.3 
750 , 10 , 128.3 
800 , 10 , 145.8 
900 , 10 , 175 
1000 , 10 , 219.8 
1100 , 10 , 263.1 
1200 , 10 , 309.3 
1300 , 10 , 372.7 
1400 , 10 , 444.3 
1500 , 10 , 495.2 
1600 , 10 , 547.4 
1700 , 10 , 604.1 
1800 , 10 , 666.6 
1900 , 10 , 710.2 
2000 , 10 , 788 
